protocol,time,analyte,mean,sd,n_obs
P3,1.5,KREAT,97.3571,14.627,14
P3,2,KREAT,95.9167,13.807,12
P3,24,KREAT,82.8571,8.151,14
P3,3,KREAT,91.7143,11.364,14
P3,6,KREAT,83.7273,12.273,11
P4,0,KREAT,83.4667,9.65,15
P4,0.5,KREAT,85.6429,11.147,14
P4,1,KREAT,85.7333,12.127,15
P4,1.5,KREAT,83.8667,11.88,15
P4,2,KREAT,83.7143,11.248,14
P4,24,KREAT,81.75,8.873,16
P4,3,KREAT,81.9333,11.436,15
P4,6,KREAT,79,9.767,14
P5,0,KREAT,82.1333,9.226,15
P5,0.5,KREAT,91.4,13.026,15
P5,1,KREAT,101.6667,16.927,15
P5,1.5,KREAT,94.1429,13.242,14
P5,2,KREAT,91.9286,11.919,14
P5,24,KREAT,83.2857,8.203,14
P5,3,KREAT,86.6,10.514,15
P5,6,KREAT,80.6,10.343,15
P1,0,LEUCO,5.2533,0.835,15
P1,0.5,LEUCO,5.0643,0.801,14
P1,1,LEUCO,5.5467,1.133,15
P1,1.5,LEUCO,5.7867,1.072,15
P1,2,LEUCO,6.0133,1.192,15
P1,24,LEUCO,5.2067,0.898,15
P1,3,LEUCO,5.9933,1.219,15
P1,6,LEUCO,6.2,1.141,15
P2,0,LEUCO,5.0214,1.022,14
P2,0.5,LEUCO,9.3231,2.007,13
P2,1,LEUCO,9.6,2.213,14
P2,1.5,LEUCO,7.1857,2.054,14
P2,2,LEUCO,9,2.266,13
P2,24,LEUCO,4.7867,1.139,15
P2,3,LEUCO,11.3857,2.23,14
P2,6,LEUCO,9.3308,1.884,13
P3,0,LEUCO,4.9615,1.022,13
P3,0.5,LEUCO,9.3,1.692,12
P3,1,LEUCO,9.1846,1.989,13
P3,1.5,LEUCO,7.3923,1.891,13
P3,2,LEUCO,9.5833,2.6,12
P3,24,LEUCO,5.0071,0.961,14
P3,3,LEUCO,11.2923,2.435,13
P3,6,LEUCO,9,1.759,10
P4,0,LEUCO,4.8357,0.764,14
P4,0.5,LEUCO,7.3615,1.02,13
P4,1,LEUCO,7.7857,1.359,14
P4,1.5,LEUCO,5.5357,0.871,14
P4,2,LEUCO,6.4308,1.123,13
P4,24,LEUCO,4.7812,1.115,16
P4,3,LEUCO,7.5214,1.403,14
P4,6,LEUCO,6.8077,1.345,13
P5,0,LEUCO,4.7067,0.65,15
P5,0.5,LEUCO,9.42,1.396,15
P5,1,LEUCO,9.38,1.477,15
P5,1.5,LEUCO,7.2267,3.422,15
P5,2,LEUCO,9.8733,4.321,15
P5,24,LEUCO,4.9357,0.911,14
P5,3,LEUCO,11.9533,3.056,15
P5,6,LEUCO,9.8067,2.201,15
P1,0,POTASSIUM,4.2533,0.378,15
P1,0.5,POTASSIUM,4.2067,0.333,15
P1,1,POTASSIUM,4.3,0.278,15
P1,1.5,POTASSIUM,4.3929,0.198,14
P1,2,POTASSIUM,4.46,0.196,15
P1,24,POTASSIUM,4.32,0.319,15
P1,3,POTASSIUM,4.38,0.218,15
P1,6,POTASSIUM,4.14,0.344,15
P2,0,POTASSIUM,4.14,0.28,15
P2,0.5,POTASSIUM,5.2714,0.381,14
P2,1,POTASSIUM,5.3133,0.323,15
